"Plot Title: c465ac3-10728522"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728522, SEN S/N: 10728522)","RH, % (LGR S/N: 10728522, SEN S/N: 10728522)","Coupler Detached (LGR S/N: 10728522)","Coupler Attached (LGR S/N: 10728522)","Host Connected (LGR S/N: 10728522)","Stopped (LGR S/N: 10728522)","End Of File (LGR S/N: 10728522)"
1,12/10/15 下午05时00分00秒,13.064,20.899,Logged,,,,
2,12/10/15 下午05时05分00秒,13.040,20.897,,,,,
3,12/10/15 下午05时10分00秒,13.040,20.897,,,,,
4,12/10/15 下午05时15分00秒,13.016,20.896,,,,,
5,12/10/15 下午05时20分00秒,13.016,20.862,,,,,
6,12/10/15 下午05时25分00秒,12.992,20.861,,,,,
7,12/10/15 下午05时30分00秒,12.992,20.861,,,,,
8,12/10/15 下午05时35分00秒,12.992,20.827,,,,,
9,12/10/15 下午05时40分00秒,12.992,20.793,,,,,
10,12/10/15 下午05时45分00秒,12.992,20.793,,,,,
11,12/10/15 下午05时50分00秒,12.968,20.792,,,,,
12,12/10/15 下午05时55分00秒,12.992,20.793,,,,,
13,12/10/15 下午06时00分00秒,12.992,20.793,,,,,
14,12/10/15 下午06时05分00秒,12.992,20.793,,,,,
15,12/10/15 下午06时10分00秒,12.992,20.726,,,,,
16,12/10/15 下午06时15分00秒,12.992,20.726,,,,,
17,12/10/15 下午06时20分00秒,12.992,20.726,,,,,
18,12/10/15 下午06时25分00秒,12.992,20.726,,,,,
19,12/10/15 下午06时30分00秒,12.992,20.726,,,,,
20,12/10/15 下午06时35分00秒,12.968,20.725,,,,,
21,12/10/15 下午06时40分00秒,12.968,20.725,,,,,
22,12/10/15 下午06时45分00秒,12.968,20.725,,,,,
23,12/10/15 下午06时50分00秒,12.968,20.691,,,,,
24,12/10/15 下午06时55分00秒,12.968,20.657,,,,,
25,12/10/15 下午07时00分00秒,12.968,20.691,,,,,
26,12/10/15 下午07时05分00秒,12.968,20.725,,,,,
27,12/10/15 下午07时10分00秒,12.968,20.657,,,,,
28,12/10/15 下午07时15分00秒,12.968,20.657,,,,,
29,12/10/15 下午07时20分00秒,12.944,20.656,,,,,
30,12/10/15 下午07时25分00秒,12.944,20.656,,,,,
31,12/10/15 下午07时30分00秒,12.944,20.656,,,,,
32,12/10/15 下午07时35分00秒,12.944,20.656,,,,,
33,12/10/15 下午07时40分00秒,12.944,20.656,,,,,
34,12/10/15 下午07时45分00秒,12.944,20.622,,,,,
35,12/10/15 下午07时50分00秒,12.920,20.654,,,,,
36,12/10/15 下午07时55分00秒,12.944,20.656,,,,,
37,12/10/15 下午08时00分00秒,12.920,20.654,,,,,
38,12/10/15 下午08时05分00秒,12.920,20.654,,,,,
39,12/10/15 下午08时10分00秒,12.920,20.654,,,,,
40,12/10/15 下午08时15分00秒,12.920,20.654,,,,,
41,12/10/15 下午08时20分00秒,12.920,20.654,,,,,
42,12/10/15 下午08时25分00秒,12.920,20.621,,,,,
43,12/10/15 下午08时30分00秒,12.896,20.653,,,,,
44,12/10/15 下午08时35分00秒,12.896,20.653,,,,,
45,12/10/15 下午08时40分00秒,12.896,20.653,,,,,
46,12/10/15 下午08时45分00秒,12.871,20.651,,,,,
47,12/10/15 下午08时50分00秒,12.871,20.651,,,,,
48,12/10/15 下午08时55分00秒,12.871,20.651,,,,,
49,12/10/15 下午09时00分00秒,12.871,20.651,,,,,
50,12/10/15 下午09时05分00秒,12.871,20.651,,,,,
51,12/10/15 下午09时10分00秒,12.896,20.653,,,,,
52,12/10/15 下午09时15分00秒,12.871,20.651,,,,,
53,12/10/15 下午09时20分00秒,12.871,20.651,,,,,
54,12/10/15 下午09时25分00秒,12.871,20.651,,,,,
55,12/10/15 下午09时30分00秒,12.871,20.651,,,,,
56,12/10/15 下午09时35分00秒,12.871,20.651,,,,,
57,12/10/15 下午09时40分00秒,12.871,20.618,,,,,
58,12/10/15 下午09时45分00秒,12.871,20.584,,,,,
59,12/10/15 下午09时50分00秒,12.871,20.618,,,,,
60,12/10/15 下午09时55分00秒,12.847,20.582,,,,,
61,12/10/15 下午10时00分00秒,12.847,20.582,,,,,
62,12/10/15 下午10时05分00秒,12.823,20.581,,,,,
63,12/10/15 下午10时10分00秒,12.847,20.582,,,,,
64,12/10/15 下午10时15分00秒,12.823,20.581,,,,,
65,12/10/15 下午10时20分00秒,12.823,20.581,,,,,
66,12/10/15 下午10时25分00秒,12.823,20.581,,,,,
67,12/10/15 下午10时30分00秒,12.823,20.581,,,,,
68,12/10/15 下午10时35分00秒,12.823,20.514,,,,,
69,12/10/15 下午10时40分00秒,12.823,20.514,,,,,
70,12/10/15 下午10时45分00秒,12.823,20.514,,,,,
71,12/10/15 下午10时50分00秒,12.823,20.581,,,,,
72,12/10/15 下午10时55分00秒,12.799,20.579,,,,,
73,12/10/15 下午11时00分00秒,12.799,20.512,,,,,
74,12/10/15 下午11时05分00秒,12.799,20.512,,,,,
75,12/10/15 下午11时10分00秒,12.799,20.512,,,,,
76,12/10/15 下午11时15分00秒,12.799,20.546,,,,,
77,12/10/15 下午11时20分00秒,12.775,20.511,,,,,
78,12/10/15 下午11时25分00秒,12.775,20.511,,,,,
79,12/10/15 下午11时30分00秒,12.775,20.511,,,,,
80,12/10/15 下午11时35分00秒,12.775,20.511,,,,,
81,12/10/15 下午11时40分00秒,12.775,20.511,,,,,
82,12/10/15 下午11时45分00秒,12.775,20.511,,,,,
83,12/10/15 下午11时50分00秒,12.775,20.443,,,,,
84,12/10/15 下午11时55分00秒,12.751,20.442,,,,,
85,12/11/15 上午12时00分00秒,12.751,20.476,,,,,
86,12/11/15 上午12时05分00秒,12.751,20.442,,,,,
87,12/11/15 上午12时10分00秒,12.751,20.442,,,,,
88,12/11/15 上午12时15分00秒,12.751,20.442,,,,,
89,12/11/15 上午12时20分00秒,12.727,20.440,,,,,
90,12/11/15 上午12时25分00秒,12.727,20.373,,,,,
91,12/11/15 上午12时30分00秒,12.727,20.373,,,,,
92,12/11/15 上午12时35分00秒,12.727,20.407,,,,,
93,12/11/15 上午12时40分00秒,12.727,20.373,,,,,
94,12/11/15 上午12时45分00秒,12.727,20.373,,,,,
95,12/11/15 上午12时50分00秒,12.727,20.340,,,,,
96,12/11/15 上午12时55分00秒,12.703,20.372,,,,,
97,12/11/15 上午01时00分00秒,12.703,20.304,,,,,
98,12/11/15 上午01时05分00秒,12.678,20.303,,,,,
99,12/11/15 上午01时10分00秒,12.678,20.303,,,,,
100,12/11/15 上午01时15分00秒,12.678,20.303,,,,,
101,12/11/15 上午01时20分00秒,12.678,20.303,,,,,
102,12/11/15 上午01时25分00秒,12.678,20.303,,,,,
103,12/11/15 上午01时30分00秒,12.678,20.303,,,,,
104,12/11/15 上午01时35分00秒,12.678,20.236,,,,,
105,12/11/15 上午01时40分00秒,12.678,20.236,,,,,
106,12/11/15 上午01时45分00秒,12.678,20.236,,,,,
107,12/11/15 上午01时50分00秒,12.678,20.236,,,,,
108,12/11/15 上午01时55分00秒,12.678,20.236,,,,,
109,12/11/15 上午02时00分00秒,12.678,20.168,,,,,
110,12/11/15 上午02时05分00秒,12.654,20.167,,,,,
111,12/11/15 上午02时10分00秒,12.630,20.165,,,,,
112,12/11/15 上午02时15分00秒,12.630,20.233,,,,,
113,12/11/15 上午02时20分00秒,12.630,20.165,,,,,
114,12/11/15 上午02时25分00秒,12.630,20.199,,,,,
115,12/11/15 上午02时30分00秒,12.654,20.167,,,,,
116,12/11/15 上午02时35分00秒,12.630,20.165,,,,,
117,12/11/15 上午02时40分00秒,12.606,20.164,,,,,
118,12/11/15 上午02时45分00秒,12.630,20.165,,,,,
119,12/11/15 上午02时50分00秒,12.606,20.164,,,,,
120,12/11/15 上午02时55分00秒,12.606,20.164,,,,,
121,12/11/15 上午03时00分00秒,12.582,20.162,,,,,
122,12/11/15 上午03时05分00秒,12.582,20.196,,,,,
123,12/11/15 上午03时10分00秒,12.558,20.228,,,,,
124,12/11/15 上午03时15分00秒,12.582,20.230,,,,,
125,12/11/15 上午03时20分00秒,12.558,20.228,,,,,
126,12/11/15 上午03时25分00秒,12.558,20.228,,,,,
127,12/11/15 上午03时30分00秒,12.558,20.295,,,,,
128,12/11/15 上午03时35分00秒,12.558,20.295,,,,,
129,12/11/15 上午03时40分00秒,12.534,20.260,,,,,
130,12/11/15 上午03时45分00秒,12.534,20.328,,,,,
131,12/11/15 上午03时50分00秒,12.534,20.294,,,,,
132,12/11/15 上午03时55分00秒,12.534,20.294,,,,,
133,12/11/15 上午04时00分00秒,12.534,20.294,,,,,
134,12/11/15 上午04时05分00秒,12.509,20.225,,,,,
135,12/11/15 上午04时10分00秒,12.509,20.225,,,,,
136,12/11/15 上午04时15分00秒,12.509,20.225,,,,,
137,12/11/15 上午04时20分00秒,12.509,20.225,,,,,
138,12/11/15 上午04时25分00秒,12.509,20.192,,,,,
139,12/11/15 上午04时30分00秒,12.485,20.156,,,,,
140,12/11/15 上午04时35分00秒,12.485,20.156,,,,,
141,12/11/15 上午04时40分00秒,12.485,20.089,,,,,
142,12/11/15 上午04时45分00秒,12.485,20.156,,,,,
143,12/11/15 上午04时50分00秒,12.461,20.020,,,,,
144,12/11/15 上午04时55分00秒,12.461,20.088,,,,,
145,12/11/15 上午05时00分00秒,12.461,20.020,,,,,
146,12/11/15 上午05时05分00秒,12.461,20.020,,,,,
147,12/11/15 上午05时10分00秒,12.437,20.019,,,,,
148,12/11/15 上午05时15分00秒,12.437,20.019,,,,,
149,12/11/15 上午05时20分00秒,12.437,19.985,,,,,
150,12/11/15 上午05时25分00秒,12.413,19.950,,,,,
151,12/11/15 上午05时30分00秒,12.437,20.019,,,,,
152,12/11/15 上午05时35分00秒,12.413,19.883,,,,,
153,12/11/15 上午05时40分00秒,12.413,19.950,,,,,
154,12/11/15 上午05时45分00秒,12.413,19.916,,,,,
155,12/11/15 上午05时50分00秒,12.413,19.950,,,,,
156,12/11/15 上午05时55分00秒,12.389,19.949,,,,,
157,12/11/15 上午06时00分00秒,12.389,19.949,,,,,
158,12/11/15 上午06时05分00秒,12.389,19.949,,,,,
159,12/11/15 上午06时10分00秒,12.389,19.915,,,,,
160,12/11/15 上午06时15分00秒,12.389,19.949,,,,,
161,12/11/15 上午06时20分00秒,12.389,19.881,,,,,
162,12/11/15 上午06时25分00秒,12.364,19.880,,,,,
163,12/11/15 上午06时30分00秒,12.364,19.880,,,,,
164,12/11/15 上午06时35分00秒,12.364,19.880,,,,,
165,12/11/15 上午06时40分00秒,12.364,19.880,,,,,
166,12/11/15 上午06时45分00秒,12.364,19.812,,,,,
167,12/11/15 上午06时50分00秒,12.364,19.812,,,,,
168,12/11/15 上午06时55分00秒,12.364,19.812,,,,,
169,12/11/15 上午07时00分00秒,12.364,19.812,,,,,
170,12/11/15 上午07时05分00秒,12.340,19.811,,,,,
171,12/11/15 上午07时10分00秒,12.340,19.744,,,,,
172,12/11/15 上午07时15分00秒,12.340,19.811,,,,,
173,12/11/15 上午07时20分00秒,12.340,19.744,,,,,
174,12/11/15 上午07时25分00秒,12.340,19.744,,,,,
175,12/11/15 上午07时30分00秒,12.340,19.744,,,,,
176,12/11/15 上午07时35分00秒,12.340,19.676,,,,,
177,12/11/15 上午07时40分00秒,12.340,19.710,,,,,
178,12/11/15 上午07时45分00秒,12.340,19.676,,,,,
179,12/11/15 上午07时50分00秒,12.340,19.676,,,,,
180,12/11/15 上午07时55分00秒,12.340,19.744,,,,,
181,12/11/15 上午08时00分00秒,12.316,19.675,,,,,
182,12/11/15 上午08时05分00秒,12.340,19.676,,,,,
183,12/11/15 上午08时10分00秒,12.292,19.606,,,,,
184,12/11/15 上午08时15分00秒,12.316,19.675,,,,,
185,12/11/15 上午08时20分00秒,12.316,19.675,,,,,
186,12/11/15 上午08时25分00秒,12.292,19.606,,,,,
187,12/11/15 上午08时30分00秒,12.292,19.673,,,,,
188,12/11/15 上午08时35分00秒,12.292,19.606,,,,,
189,12/11/15 上午08时40分00秒,12.292,19.640,,,,,
190,12/11/15 上午08时45分00秒,12.292,19.606,,,,,
191,12/11/15 上午08时50分00秒,12.292,19.606,,,,,
192,12/11/15 上午08时55分00秒,12.292,19.640,,,,,
193,12/11/15 上午09时00分00秒,12.292,19.606,,,,,
194,12/11/15 上午09时05分00秒,12.292,19.606,,,,,
195,12/11/15 上午09时10分00秒,12.292,19.606,,,,,
196,12/11/15 上午09时15分00秒,12.292,19.606,,,,,
197,12/11/15 上午09时20分00秒,12.292,19.606,,,,,
198,12/11/15 上午09时25分00秒,12.292,19.539,,,,,
199,12/11/15 上午09时30分00秒,12.292,19.539,,,,,
200,12/11/15 上午09时35分00秒,12.292,19.539,,,,,
201,12/11/15 上午09时40分00秒,12.316,19.574,,,,,
202,12/11/15 上午09时45分00秒,12.340,19.575,,,,,
203,12/11/15 上午09时50分00秒,12.340,19.609,,,,,
204,12/11/15 上午09时55分00秒,12.340,19.609,,,,,
205,12/11/15 上午10时00分00秒,12.340,19.676,,,,,
206,12/11/15 上午10时05分00秒,12.340,20.887,,,,,
207,12/11/15 上午10时10分00秒,12.316,21.623,,,,,
208,12/11/15 上午10时15分00秒,12.292,21.487,,,,,
209,12/11/15 上午10时20分00秒,12.243,21.685,,,,,
210,12/11/15 上午10时25分00秒,12.219,21.616,,,,,
