"Plot Title: c465ae-10728387"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728387, SEN S/N: 10728387)","RH, % (LGR S/N: 10728387, SEN S/N: 10728387)","Coupler Detached (LGR S/N: 10728387)","Coupler Attached (LGR S/N: 10728387)","Host Connected (LGR S/N: 10728387)","Stopped (LGR S/N: 10728387)","End Of File (LGR S/N: 10728387)"
1,12/10/15 下午05时00分00秒,8.941,27.331,Logged,,,,
2,12/10/15 下午05时05分00秒,8.990,27.139,,,,,
3,12/10/15 下午05时10分00秒,9.015,27.076,,,,,
4,12/10/15 下午05时15分00秒,9.015,27.206,,,,,
5,12/10/15 下午05时20分00秒,8.990,27.172,,,,,
6,12/10/15 下午05时25分00秒,8.990,27.270,,,,,
7,12/10/15 下午05时30分00秒,8.990,27.204,,,,,
8,12/10/15 下午05时35分00秒,8.965,27.137,,,,,
9,12/10/15 下午05时40分00秒,8.965,27.137,,,,,
10,12/10/15 下午05时45分00秒,8.965,27.137,,,,,
11,12/10/15 下午05时50分00秒,8.916,27.198,,,,,
12,12/10/15 下午05时55分00秒,8.916,27.198,,,,,
13,12/10/15 下午06时00分00秒,8.866,27.260,,,,,
14,12/10/15 下午06时05分00秒,8.866,27.260,,,,,
15,12/10/15 下午06时10分00秒,8.891,27.131,,,,,
16,12/10/15 下午06时15分00秒,8.817,27.321,,,,,
17,12/10/15 下午06时20分00秒,8.767,27.448,,,,,
18,12/10/15 下午06时25分00秒,8.717,27.509,,,,,
19,12/10/15 下午06时30分00秒,8.593,27.629,,,,,
20,12/10/15 下午06时35分00秒,8.444,27.943,,,,,
21,12/10/15 下午06时40分00秒,8.270,28.059,,,,,
22,12/10/15 下午06时45分00秒,8.070,28.368,,,,,
23,12/10/15 下午06时50分00秒,7.895,28.613,,,,,
24,12/10/15 下午06时55分00秒,7.720,29.246,,,,,
25,12/10/15 下午07时00分00秒,7.569,29.621,,,,,
26,12/10/15 下午07时05分00秒,7.419,29.931,,,,,
27,12/10/15 下午07时10分00秒,7.268,30.176,,,,,
28,12/10/15 下午07时15分00秒,7.217,30.236,,,,,
29,12/10/15 下午07时20分00秒,7.142,30.004,,,,,
30,12/10/15 下午07时25分00秒,7.066,30.223,,,,,
31,12/10/15 下午07时30分00秒,7.041,30.574,,,,,
32,12/10/15 下午07时35分00秒,7.015,30.958,,,,,
33,12/10/15 下午07时40分00秒,6.965,31.178,,,,,
34,12/10/15 下午07时45分00秒,6.914,31.270,,,,,
35,12/10/15 下午07时50分00秒,6.813,31.100,,,,,
36,12/10/15 下午07时55分00秒,6.661,31.535,,,,,
37,12/10/15 下午08时00分00秒,6.509,32.002,,,,,
38,12/10/15 下午08时05分00秒,6.458,32.157,,,,,
39,12/10/15 下午08时10分00秒,6.509,31.938,,,,,
40,12/10/15 下午08时15分00秒,6.585,31.464,,,,,
41,12/10/15 下午08时20分00秒,6.636,31.501,,,,,
42,12/10/15 下午08时25分00秒,6.661,31.471,,,,,
43,12/10/15 下午08时30分00秒,6.661,32.015,,,,,
44,12/10/15 下午08时35分00秒,6.636,31.725,,,,,
45,12/10/15 下午08时40分00秒,6.611,31.531,,,,,
46,12/10/15 下午08时45分00秒,6.661,31.599,,,,,
47,12/10/15 下午08时50分00秒,6.661,31.535,,,,,
48,12/10/15 下午08时55分00秒,6.661,31.279,,,,,
49,12/10/15 下午09时00分00秒,6.611,31.403,,,,,
50,12/10/15 下午09时05分00秒,6.636,31.020,,,,,
51,12/10/15 下午09时10分00秒,6.788,30.584,,,,,
52,12/10/15 下午09时15分00秒,6.940,29.890,,,,,
53,12/10/15 下午09时20分00秒,7.091,29.257,,,,,
54,12/10/15 下午09时25分00秒,7.015,29.251,,,,,
55,12/10/15 下午09时30分00秒,6.889,29.402,,,,,
56,12/10/15 下午09时35分00秒,6.763,30.003,,,,,
57,12/10/15 下午09时40分00秒,6.661,30.284,,,,,
58,12/10/15 下午09时45分00秒,6.535,30.305,,,,,
59,12/10/15 下午09时50分00秒,6.458,30.459,,,,,
60,12/10/15 下午09时55分00秒,6.306,30.798,,,,,
61,12/10/15 下午10时00分00秒,6.204,30.918,,,,,
62,12/10/15 下午10时05分00秒,6.153,31.105,,,,,
63,12/10/15 下午10时10分00秒,6.102,31.165,,,,,
64,12/10/15 下午10时15分00秒,6.051,31.512,,,,,
65,12/10/15 下午10时20分00秒,5.975,31.409,,,,,
66,12/10/15 下午10时25分00秒,6.051,31.416,,,,,
67,12/10/15 下午10时30分00秒,5.949,31.854,,,,,
68,12/10/15 下午10时35分00秒,5.847,31.973,,,,,
69,12/10/15 下午10时40分00秒,5.847,31.941,,,,,
70,12/10/15 下午10时45分00秒,5.770,32.348,,,,,
71,12/10/15 下午10时50分00秒,5.693,32.469,,,,,
72,12/10/15 下午10时55分00秒,5.770,31.838,,,,,
73,12/10/15 下午11时00分00秒,5.745,31.932,,,,,
74,12/10/15 下午11时05分00秒,5.796,31.681,,,,,
75,12/10/15 下午11时10分00秒,5.745,31.516,,,,,
76,12/10/15 下午11时15分00秒,5.796,31.105,,,,,
77,12/10/15 下午11时20分00秒,5.796,30.721,,,,,
78,12/10/15 下午11时25分00秒,5.719,30.746,,,,,
79,12/10/15 下午11时30分00秒,5.693,30.776,,,,,
80,12/10/15 下午11时35分00秒,5.642,30.708,,,,,
81,12/10/15 下午11时40分00秒,5.616,30.833,,,,,
82,12/10/15 下午11时45分00秒,5.591,31.311,,,,,
83,12/10/15 下午11时50分00秒,5.642,30.740,,,,,
84,12/10/15 下午11时55分00秒,5.616,30.737,,,,,
85,12/11/15 上午12时00分00秒,5.565,31.788,,,,,
86,12/11/15 上午12时05分00秒,5.488,31.366,,,,,
87,12/11/15 上午12时10分00秒,5.437,31.169,,,,,
88,12/11/15 上午12时15分00秒,5.437,31.041,,,,,
