"Plot Title: c465ae3-10728519"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728519, SEN S/N: 10728519)","RH, % (LGR S/N: 10728519, SEN S/N: 10728519)","Coupler Detached (LGR S/N: 10728519)","Coupler Attached (LGR S/N: 10728519)","Host Connected (LGR S/N: 10728519)","Stopped (LGR S/N: 10728519)","End Of File (LGR S/N: 10728519)"
1,12/10/15 下午05时00分00秒,12.823,20.984,Logged,,,,
2,12/10/15 下午05时05分00秒,12.823,20.951,,,,,
3,12/10/15 下午05时10分00秒,12.823,20.917,,,,,
4,12/10/15 下午05时15分00秒,12.823,20.884,,,,,
5,12/10/15 下午05时20分00秒,12.823,20.850,,,,,
6,12/10/15 下午05时25分00秒,12.823,20.850,,,,,
7,12/10/15 下午05时30分00秒,12.823,20.816,,,,,
8,12/10/15 下午05时35分00秒,12.823,20.816,,,,,
9,12/10/15 下午05时40分00秒,12.823,20.783,,,,,
10,12/10/15 下午05时45分00秒,12.823,20.783,,,,,
11,12/10/15 下午05时50分00秒,12.823,20.783,,,,,
12,12/10/15 下午05时55分00秒,12.823,20.749,,,,,
13,12/10/15 下午06时00分00秒,12.823,20.715,,,,,
14,12/10/15 下午06时05分00秒,12.823,20.715,,,,,
15,12/10/15 下午06时10分00秒,12.823,20.715,,,,,
16,12/10/15 下午06时15分00秒,12.823,20.715,,,,,
17,12/10/15 下午06时20分00秒,12.823,20.715,,,,,
18,12/10/15 下午06时25分00秒,12.823,20.715,,,,,
19,12/10/15 下午06时30分00秒,12.823,20.715,,,,,
20,12/10/15 下午06时35分00秒,12.823,20.648,,,,,
21,12/10/15 下午06时40分00秒,12.823,20.648,,,,,
22,12/10/15 下午06时45分00秒,12.823,20.648,,,,,
23,12/10/15 下午06时50分00秒,12.823,20.648,,,,,
24,12/10/15 下午06时55分00秒,12.823,20.615,,,,,
25,12/10/15 下午07时00分00秒,12.823,20.648,,,,,
26,12/10/15 下午07时05分00秒,12.799,20.647,,,,,
27,12/10/15 下午07时10分00秒,12.799,20.613,,,,,
28,12/10/15 下午07时15分00秒,12.799,20.613,,,,,
29,12/10/15 下午07时20分00秒,12.799,20.579,,,,,
30,12/10/15 下午07时25分00秒,12.799,20.579,,,,,
31,12/10/15 下午07时30分00秒,12.799,20.579,,,,,
32,12/10/15 下午07时35分00秒,12.799,20.579,,,,,
33,12/10/15 下午07时40分00秒,12.799,20.579,,,,,
34,12/10/15 下午07时45分00秒,12.775,20.578,,,,,
35,12/10/15 下午07时50分00秒,12.775,20.578,,,,,
36,12/10/15 下午07时55分00秒,12.775,20.578,,,,,
37,12/10/15 下午08时00分00秒,12.775,20.578,,,,,
38,12/10/15 下午08时05分00秒,12.775,20.578,,,,,
39,12/10/15 下午08时10分00秒,12.775,20.578,,,,,
40,12/10/15 下午08时15分00秒,12.775,20.578,,,,,
41,12/10/15 下午08时20分00秒,12.751,20.576,,,,,
42,12/10/15 下午08时25分00秒,12.751,20.576,,,,,
43,12/10/15 下午08时30分00秒,12.751,20.576,,,,,
44,12/10/15 下午08时35分00秒,12.727,20.575,,,,,
45,12/10/15 下午08时40分00秒,12.727,20.575,,,,,
46,12/10/15 下午08时45分00秒,12.727,20.575,,,,,
47,12/10/15 下午08时50分00秒,12.727,20.575,,,,,
48,12/10/15 下午08时55分00秒,12.727,20.575,,,,,
49,12/10/15 下午09时00分00秒,12.727,20.575,,,,,
50,12/10/15 下午09时05分00秒,12.727,20.575,,,,,
51,12/10/15 下午09时10分00秒,12.727,20.575,,,,,
52,12/10/15 下午09时15分00秒,12.727,20.575,,,,,
53,12/10/15 下午09时20分00秒,12.727,20.575,,,,,
54,12/10/15 下午09时25分00秒,12.727,20.575,,,,,
55,12/10/15 下午09时30分00秒,12.727,20.575,,,,,
56,12/10/15 下午09时35分00秒,12.727,20.575,,,,,
57,12/10/15 下午09时40分00秒,12.703,20.506,,,,,
58,12/10/15 下午09时45分00秒,12.703,20.506,,,,,
59,12/10/15 下午09时50分00秒,12.703,20.506,,,,,
60,12/10/15 下午09时55分00秒,12.678,20.505,,,,,
61,12/10/15 下午10时00分00秒,12.678,20.505,,,,,
62,12/10/15 下午10时05分00秒,12.678,20.505,,,,,
63,12/10/15 下午10时10分00秒,12.678,20.505,,,,,
64,12/10/15 下午10时15分00秒,12.678,20.505,,,,,
65,12/10/15 下午10时20分00秒,12.678,20.471,,,,,
66,12/10/15 下午10时25分00秒,12.654,20.503,,,,,
67,12/10/15 下午10时30分00秒,12.654,20.436,,,,,
68,12/10/15 下午10时35分00秒,12.654,20.470,,,,,
69,12/10/15 下午10时40分00秒,12.654,20.436,,,,,
70,12/10/15 下午10时45分00秒,12.654,20.436,,,,,
71,12/10/15 下午10时50分00秒,12.630,20.468,,,,,
72,12/10/15 下午10时55分00秒,12.630,20.434,,,,,
73,12/10/15 下午11时00分00秒,12.630,20.502,,,,,
74,12/10/15 下午11时05分00秒,12.630,20.502,,,,,
75,12/10/15 下午11时10分00秒,12.630,20.434,,,,,
76,12/10/15 下午11时15分00秒,12.630,20.434,,,,,
77,12/10/15 下午11时20分00秒,12.630,20.434,,,,,
78,12/10/15 下午11时25分00秒,12.606,20.433,,,,,
79,12/10/15 下午11时30分00秒,12.606,20.433,,,,,
80,12/10/15 下午11时35分00秒,12.606,20.433,,,,,
81,12/10/15 下午11时40分00秒,12.606,20.433,,,,,
82,12/10/15 下午11时45分00秒,12.582,20.398,,,,,
83,12/10/15 下午11时50分00秒,12.582,20.364,,,,,
84,12/10/15 下午11时55分00秒,12.582,20.364,,,,,
85,12/11/15 上午12时00分00秒,12.582,20.364,,,,,
86,12/11/15 上午12时05分00秒,12.582,20.331,,,,,
87,12/11/15 上午12时10分00秒,12.582,20.331,,,,,
88,12/11/15 上午12时15分00秒,12.582,20.331,,,,,
89,12/11/15 上午12时20分00秒,12.582,20.331,,,,,
90,12/11/15 上午12时25分00秒,12.558,20.295,,,,,
91,12/11/15 上午12时30分00秒,12.558,20.295,,,,,
92,12/11/15 上午12时35分00秒,12.558,20.295,,,,,
93,12/11/15 上午12时40分00秒,12.558,20.295,,,,,
94,12/11/15 上午12时45分00秒,12.534,20.294,,,,,
95,12/11/15 上午12时50分00秒,12.534,20.294,,,,,
96,12/11/15 上午12时55分00秒,12.534,20.227,,,,,
97,12/11/15 上午01时00分00秒,12.534,20.227,,,,,
98,12/11/15 上午01时05分00秒,12.534,20.227,,,,,
99,12/11/15 上午01时10分00秒,12.534,20.227,,,,,
100,12/11/15 上午01时15分00秒,12.509,20.225,,,,,
101,12/11/15 上午01时20分00秒,12.509,20.225,,,,,
102,12/11/15 上午01时25分00秒,12.509,20.225,,,,,
103,12/11/15 上午01时30分00秒,12.509,20.158,,,,,
104,12/11/15 上午01时35分00秒,12.485,20.156,,,,,
105,12/11/15 上午01时40分00秒,12.485,20.156,,,,,
106,12/11/15 上午01时45分00秒,12.485,20.156,,,,,
107,12/11/15 上午01时50分00秒,12.485,20.089,,,,,
108,12/11/15 上午01时55分00秒,12.485,20.089,,,,,
109,12/11/15 上午02时00分00秒,12.485,20.089,,,,,
110,12/11/15 上午02时05分00秒,12.485,20.089,,,,,
111,12/11/15 上午02时10分00秒,12.485,20.089,,,,,
112,12/11/15 上午02时15分00秒,12.461,20.088,,,,,
113,12/11/15 上午02时20分00秒,12.461,20.088,,,,,
114,12/11/15 上午02时25分00秒,12.461,20.054,,,,,
115,12/11/15 上午02时30分00秒,12.437,20.052,,,,,
116,12/11/15 上午02时35分00秒,12.437,20.019,,,,,
117,12/11/15 上午02时40分00秒,12.437,20.086,,,,,
118,12/11/15 上午02时45分00秒,12.437,20.086,,,,,
119,12/11/15 上午02时50分00秒,12.437,20.086,,,,,
120,12/11/15 上午02时55分00秒,12.437,20.086,,,,,
121,12/11/15 上午03时00分00秒,12.413,20.085,,,,,
122,12/11/15 上午03时05分00秒,12.413,20.085,,,,,
123,12/11/15 上午03时10分00秒,12.413,20.085,,,,,
124,12/11/15 上午03时15分00秒,12.413,20.152,,,,,
125,12/11/15 上午03时20分00秒,12.389,20.150,,,,,
126,12/11/15 上午03时25分00秒,12.389,20.150,,,,,
127,12/11/15 上午03时30分00秒,12.389,20.150,,,,,
128,12/11/15 上午03时35分00秒,12.389,20.184,,,,,
129,12/11/15 上午03时40分00秒,12.364,20.216,,,,,
130,12/11/15 上午03时45分00秒,12.364,20.216,,,,,
131,12/11/15 上午03时50分00秒,12.364,20.216,,,,,
132,12/11/15 上午03时55分00秒,12.364,20.183,,,,,
133,12/11/15 上午04时00分00秒,12.340,20.215,,,,,
134,12/11/15 上午04时05分00秒,12.340,20.147,,,,,
135,12/11/15 上午04时10分00秒,12.340,20.147,,,,,
136,12/11/15 上午04时15分00秒,12.340,20.147,,,,,
137,12/11/15 上午04时20分00秒,12.340,20.147,,,,,
138,12/11/15 上午04时25分00秒,12.316,20.079,,,,,
139,12/11/15 上午04时30分00秒,12.316,20.079,,,,,
140,12/11/15 上午04时35分00秒,12.292,20.077,,,,,
141,12/11/15 上午04时40分00秒,12.292,20.077,,,,,
142,12/11/15 上午04时45分00秒,12.292,20.010,,,,,
143,12/11/15 上午04时50分00秒,12.292,20.010,,,,,
144,12/11/15 上午04时55分00秒,12.292,20.010,,,,,
145,12/11/15 上午05时00分00秒,12.268,19.975,,,,,
146,12/11/15 上午05时05分00秒,12.268,19.941,,,,,
147,12/11/15 上午05时10分00秒,12.243,19.940,,,,,
148,12/11/15 上午05时15分00秒,12.243,19.940,,,,,
149,12/11/15 上午05时20分00秒,12.243,19.872,,,,,
150,12/11/15 上午05时25分00秒,12.243,19.906,,,,,
151,12/11/15 上午05时30分00秒,12.243,19.872,,,,,
152,12/11/15 上午05时35分00秒,12.219,19.871,,,,,
153,12/11/15 上午05时40分00秒,12.219,19.871,,,,,
154,12/11/15 上午05时45分00秒,12.195,19.869,,,,,
155,12/11/15 上午05时50分00秒,12.219,19.871,,,,,
156,12/11/15 上午05时55分00秒,12.195,19.937,,,,,
157,12/11/15 上午06时00分00秒,12.195,19.903,,,,,
158,12/11/15 上午06时05分00秒,12.195,19.869,,,,,
159,12/11/15 上午06时10分00秒,12.195,19.869,,,,,
160,12/11/15 上午06时15分00秒,12.195,19.869,,,,,
161,12/11/15 上午06时20分00秒,12.195,19.802,,,,,
162,12/11/15 上午06时25分00秒,12.171,19.801,,,,,
163,12/11/15 上午06时30分00秒,12.171,19.801,,,,,
164,12/11/15 上午06时35分00秒,12.171,19.767,,,,,
165,12/11/15 上午06时40分00秒,12.171,19.767,,,,,
166,12/11/15 上午06时45分00秒,12.171,19.801,,,,,
167,12/11/15 上午06时50分00秒,12.147,19.732,,,,,
168,12/11/15 上午06时55分00秒,12.147,19.766,,,,,
169,12/11/15 上午07时00分00秒,12.147,19.732,,,,,
170,12/11/15 上午07时05分00秒,12.147,19.732,,,,,
171,12/11/15 上午07时10分00秒,12.147,19.732,,,,,
172,12/11/15 上午07时15分00秒,12.147,19.732,,,,,
173,12/11/15 上午07时20分00秒,12.147,19.732,,,,,
174,12/11/15 上午07时25分00秒,12.122,19.730,,,,,
175,12/11/15 上午07时30分00秒,12.122,19.697,,,,,
176,12/11/15 上午07时35分00秒,12.122,19.663,,,,,
177,12/11/15 上午07时40分00秒,12.122,19.663,,,,,
178,12/11/15 上午07时45分00秒,12.098,19.662,,,,,
179,12/11/15 上午07时50分00秒,12.098,19.662,,,,,
180,12/11/15 上午07时55分00秒,12.098,19.662,,,,,
181,12/11/15 上午08时00分00秒,12.098,19.594,,,,,
182,12/11/15 上午08时05分00秒,12.098,19.594,,,,,
183,12/11/15 上午08时10分00秒,12.074,19.627,,,,,
184,12/11/15 上午08时15分00秒,12.074,19.593,,,,,
185,12/11/15 上午08时20分00秒,12.074,19.593,,,,,
186,12/11/15 上午08时25分00秒,12.074,19.593,,,,,
187,12/11/15 上午08时30分00秒,12.074,19.559,,,,,
188,12/11/15 上午08时35分00秒,12.074,19.593,,,,,
189,12/11/15 上午08时40分00秒,12.074,19.593,,,,,
190,12/11/15 上午08时45分00秒,12.074,19.526,,,,,
191,12/11/15 上午08时50分00秒,12.074,19.526,,,,,
192,12/11/15 上午08时55分00秒,12.074,19.526,,,,,
193,12/11/15 上午09时00分00秒,12.074,19.526,,,,,
194,12/11/15 上午09时05分00秒,12.050,19.558,,,,,
195,12/11/15 上午09时10分00秒,12.050,19.524,,,,,
196,12/11/15 上午09时15分00秒,12.050,19.524,,,,,
197,12/11/15 上午09时20分00秒,12.050,19.524,,,,,
198,12/11/15 上午09时25分00秒,12.050,19.524,,,,,
199,12/11/15 上午09时30分00秒,12.050,19.524,,,,,
200,12/11/15 上午09时35分00秒,12.050,19.524,,,,,
201,12/11/15 上午09时40分00秒,12.050,19.524,,,,,
