"Plot Title:  c465ane2-10728507"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728507, SEN S/N: 10728507)","RH, % (LGR S/N: 10728507, SEN S/N: 10728507)","Coupler Detached (LGR S/N: 10728507)","Coupler Attached (LGR S/N: 10728507)","Host Connected (LGR S/N: 10728507)","Stopped (LGR S/N: 10728507)","End Of File (LGR S/N: 10728507)"
1,12/10/15 下午05时00分00秒,12.461,21.599,Logged,,,,
2,12/10/15 下午05时05分00秒,12.485,21.567,,,,,
3,12/10/15 下午05时10分00秒,12.461,21.565,,,,,
4,12/10/15 下午05时15分00秒,12.461,21.498,,,,,
5,12/10/15 下午05时20分00秒,12.461,21.498,,,,,
6,12/10/15 下午05时25分00秒,12.485,21.500,,,,,
7,12/10/15 下午05时30分00秒,12.485,21.433,,,,,
8,12/10/15 下午05时35分00秒,12.485,21.433,,,,,
9,12/10/15 下午05时40分00秒,12.485,21.433,,,,,
10,12/10/15 下午05时45分00秒,12.485,21.433,,,,,
11,12/10/15 下午05时50分00秒,12.485,21.399,,,,,
12,12/10/15 下午05时55分00秒,12.485,21.365,,,,,
13,12/10/15 下午06时00分00秒,12.485,21.365,,,,,
14,12/10/15 下午06时05分00秒,12.485,21.365,,,,,
15,12/10/15 下午06时10分00秒,12.485,21.365,,,,,
16,12/10/15 下午06时15分00秒,12.485,21.332,,,,,
17,12/10/15 下午06时20分00秒,12.485,21.365,,,,,
18,12/10/15 下午06时25分00秒,12.485,21.298,,,,,
19,12/10/15 下午06时30分00秒,12.485,21.298,,,,,
20,12/10/15 下午06时35分00秒,12.485,21.298,,,,,
21,12/10/15 下午06时40分00秒,12.485,21.298,,,,,
22,12/10/15 下午06时45分00秒,12.485,21.298,,,,,
23,12/10/15 下午06时50分00秒,12.509,21.300,,,,,
24,12/10/15 下午06时55分00秒,12.485,21.231,,,,,
25,12/10/15 下午07时00分00秒,12.485,21.265,,,,,
26,12/10/15 下午07时05分00秒,12.485,21.231,,,,,
27,12/10/15 下午07时10分00秒,12.485,21.231,,,,,
