"Plot Title: c465ane3-10728513"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728513, SEN S/N: 10728513)","RH, % (LGR S/N: 10728513, SEN S/N: 10728513)","Coupler Detached (LGR S/N: 10728513)","Coupler Attached (LGR S/N: 10728513)","Host Connected (LGR S/N: 10728513)","Stopped (LGR S/N: 10728513)","End Of File (LGR S/N: 10728513)"
1,12/10/15 下午05时00分00秒,12.823,20.917,Logged,,,,
2,12/10/15 下午05时05分00秒,12.823,20.850,,,,,
3,12/10/15 下午05时10分00秒,12.823,20.850,,,,,
4,12/10/15 下午05时15分00秒,12.823,20.850,,,,,
5,12/10/15 下午05时20分00秒,12.823,20.783,,,,,
6,12/10/15 下午05时25分00秒,12.823,20.783,,,,,
7,12/10/15 下午05时30分00秒,12.823,20.783,,,,,
8,12/10/15 下午05时35分00秒,12.823,20.749,,,,,
9,12/10/15 下午05时40分00秒,12.823,20.749,,,,,
10,12/10/15 下午05时45分00秒,12.823,20.715,,,,,
11,12/10/15 下午05时50分00秒,12.823,20.715,,,,,
12,12/10/15 下午05时55分00秒,12.823,20.715,,,,,
13,12/10/15 下午06时00分00秒,12.823,20.715,,,,,
14,12/10/15 下午06时05分00秒,12.823,20.682,,,,,
15,12/10/15 下午06时10分00秒,12.823,20.648,,,,,
16,12/10/15 下午06时15分00秒,12.823,20.648,,,,,
17,12/10/15 下午06时20分00秒,12.823,20.648,,,,,
18,12/10/15 下午06时25分00秒,12.823,20.648,,,,,
19,12/10/15 下午06时30分00秒,12.823,20.615,,,,,
20,12/10/15 下午06时35分00秒,12.823,20.581,,,,,
21,12/10/15 下午06时40分00秒,12.823,20.615,,,,,
22,12/10/15 下午06时45分00秒,12.823,20.581,,,,,
23,12/10/15 下午06时50分00秒,12.823,20.581,,,,,
24,12/10/15 下午06时55分00秒,12.823,20.581,,,,,
25,12/10/15 下午07时00分00秒,12.823,20.581,,,,,
26,12/10/15 下午07时05分00秒,12.823,20.581,,,,,
27,12/10/15 下午07时10分00秒,12.823,20.581,,,,,
28,12/10/15 下午07时15分00秒,12.823,20.514,,,,,
29,12/10/15 下午07时20分00秒,12.823,20.547,,,,,
30,12/10/15 下午07时25分00秒,12.823,20.514,,,,,
31,12/10/15 下午07时30分00秒,12.823,20.514,,,,,
32,12/10/15 下午07时35分00秒,12.823,20.514,,,,,
33,12/10/15 下午07时40分00秒,12.823,20.514,,,,,
34,12/10/15 下午07时45分00秒,12.823,20.514,,,,,
35,12/10/15 下午07时50分00秒,12.823,20.514,,,,,
36,12/10/15 下午07时55分00秒,12.799,20.512,,,,,
37,12/10/15 下午08时00分00秒,12.799,20.512,,,,,
38,12/10/15 下午08时05分00秒,12.799,20.512,,,,,
39,12/10/15 下午08时10分00秒,12.799,20.512,,,,,
40,12/10/15 下午08时15分00秒,12.799,20.512,,,,,
41,12/10/15 下午08时20分00秒,12.799,20.512,,,,,
42,12/10/15 下午08时25分00秒,12.799,20.512,,,,,
43,12/10/15 下午08时30分00秒,12.775,20.511,,,,,
44,12/10/15 下午08时35分00秒,12.775,20.511,,,,,
45,12/10/15 下午08时40分00秒,12.775,20.511,,,,,
46,12/10/15 下午08时45分00秒,12.775,20.511,,,,,
47,12/10/15 下午08时50分00秒,12.775,20.511,,,,,
48,12/10/15 下午08时55分00秒,12.775,20.511,,,,,
49,12/10/15 下午09时00分00秒,12.775,20.544,,,,,
50,12/10/15 下午09时05分00秒,12.775,20.511,,,,,
51,12/10/15 下午09时10分00秒,12.775,20.511,,,,,
52,12/10/15 下午09时15分00秒,12.775,20.511,,,,,
53,12/10/15 下午09时20分00秒,12.775,20.511,,,,,
54,12/10/15 下午09时25分00秒,12.775,20.511,,,,,
55,12/10/15 下午09时30分00秒,12.775,20.511,,,,,
56,12/10/15 下午09时35分00秒,12.751,20.509,,,,,
57,12/10/15 下午09时40分00秒,12.751,20.476,,,,,
58,12/10/15 下午09时45分00秒,12.751,20.442,,,,,
59,12/10/15 下午09时50分00秒,12.751,20.442,,,,,
60,12/10/15 下午09时55分00秒,12.751,20.442,,,,,
61,12/10/15 下午10时00分00秒,12.751,20.442,,,,,
62,12/10/15 下午10时05分00秒,12.751,20.442,,,,,
63,12/10/15 下午10时10分00秒,12.727,20.440,,,,,
64,12/10/15 下午10时15分00秒,12.727,20.440,,,,,
65,12/10/15 下午10时20分00秒,12.727,20.407,,,,,
66,12/10/15 下午10时25分00秒,12.727,20.407,,,,,
67,12/10/15 下午10时30分00秒,12.727,20.373,,,,,
68,12/10/15 下午10时35分00秒,12.727,20.373,,,,,
69,12/10/15 下午10时40分00秒,12.727,20.373,,,,,
70,12/10/15 下午10时45分00秒,12.727,20.373,,,,,
71,12/10/15 下午10时50分00秒,12.727,20.373,,,,,
72,12/10/15 下午10时55分00秒,12.727,20.373,,,,,
73,12/10/15 下午11时00分00秒,12.703,20.405,,,,,
74,12/10/15 下午11时05分00秒,12.703,20.372,,,,,
75,12/10/15 下午11时10分00秒,12.703,20.372,,,,,
76,12/10/15 下午11时15分00秒,12.703,20.372,,,,,
77,12/10/15 下午11时20分00秒,12.703,20.372,,,,,
78,12/10/15 下午11时25分00秒,12.703,20.338,,,,,
79,12/10/15 下午11时30分00秒,12.703,20.338,,,,,
80,12/10/15 下午11时35分00秒,12.678,20.303,,,,,
81,12/10/15 下午11时40分00秒,12.678,20.370,,,,,
82,12/10/15 下午11时45分00秒,12.678,20.303,,,,,
83,12/10/15 下午11时50分00秒,12.678,20.303,,,,,
84,12/10/15 下午11时55分00秒,12.678,20.303,,,,,
85,12/11/15 上午12时00分00秒,12.678,20.303,,,,,
86,12/11/15 上午12时05分00秒,12.678,20.236,,,,,
87,12/11/15 上午12时10分00秒,12.678,20.236,,,,,
88,12/11/15 上午12时15分00秒,12.654,20.234,,,,,
89,12/11/15 上午12时20分00秒,12.654,20.234,,,,,
90,12/11/15 上午12时25分00秒,12.654,20.234,,,,,
91,12/11/15 上午12时30分00秒,12.654,20.234,,,,,
92,12/11/15 上午12时35分00秒,12.654,20.234,,,,,
93,12/11/15 上午12时40分00秒,12.654,20.167,,,,,
94,12/11/15 上午12时45分00秒,12.654,20.234,,,,,
95,12/11/15 上午12时50分00秒,12.630,20.165,,,,,
96,12/11/15 上午12时55分00秒,12.630,20.165,,,,,
97,12/11/15 上午01时00分00秒,12.630,20.165,,,,,
98,12/11/15 上午01时05分00秒,12.630,20.165,,,,,
99,12/11/15 上午01时10分00秒,12.630,20.165,,,,,
100,12/11/15 上午01时15分00秒,12.630,20.132,,,,,
101,12/11/15 上午01时20分00秒,12.630,20.098,,,,,
102,12/11/15 上午01时25分00秒,12.630,20.098,,,,,
103,12/11/15 上午01时30分00秒,12.630,20.098,,,,,
104,12/11/15 上午01时35分00秒,12.630,20.064,,,,,
105,12/11/15 上午01时40分00秒,12.630,20.031,,,,,
106,12/11/15 上午01时45分00秒,12.606,20.029,,,,,
107,12/11/15 上午01时50分00秒,12.606,20.029,,,,,
108,12/11/15 上午01时55分00秒,12.606,20.029,,,,,
109,12/11/15 上午02时00分00秒,12.606,19.996,,,,,
110,12/11/15 上午02时05分00秒,12.606,20.029,,,,,
111,12/11/15 上午02时10分00秒,12.582,19.994,,,,,
