"Plot Title: c465aw2-10728425"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728425, SEN S/N: 10728425)","RH, % (LGR S/N: 10728425, SEN S/N: 10728425)","Coupler Detached (LGR S/N: 10728425)","Coupler Attached (LGR S/N: 10728425)","Host Connected (LGR S/N: 10728425)","Stopped (LGR S/N: 10728425)","End Of File (LGR S/N: 10728425)"
1,12/10/15 下午05时00分00秒,13.016,20.862,Logged,,,,
2,12/10/15 下午05时05分00秒,12.968,20.859,,,,,
3,12/10/15 下午05时10分00秒,12.944,20.858,,,,,
4,12/10/15 下午05时15分00秒,12.944,20.858,,,,,
5,12/10/15 下午05时20分00秒,12.920,20.822,,,,,
6,12/10/15 下午05时25分00秒,12.920,20.856,,,,,
7,12/10/15 下午05时30分00秒,12.920,20.789,,,,,
8,12/10/15 下午05时35分00秒,12.896,20.754,,,,,
9,12/10/15 下午05时40分00秒,12.896,20.787,,,,,
10,12/10/15 下午05时45分00秒,12.896,20.754,,,,,
11,12/10/15 下午05时50分00秒,12.896,20.720,,,,,
12,12/10/15 下午05时55分00秒,12.896,20.787,,,,,
13,12/10/15 下午06时00分00秒,12.896,20.720,,,,,
14,12/10/15 下午06时05分00秒,12.896,20.720,,,,,
15,12/10/15 下午06时10分00秒,12.896,20.754,,,,,
16,12/10/15 下午06时15分00秒,12.896,20.720,,,,,
17,12/10/15 下午06时20分00秒,12.896,20.720,,,,,
18,12/10/15 下午06时25分00秒,12.896,20.720,,,,,
19,12/10/15 下午06时30分00秒,12.896,20.720,,,,,
20,12/10/15 下午06时35分00秒,12.896,20.720,,,,,
21,12/10/15 下午06时40分00秒,12.896,20.720,,,,,
22,12/10/15 下午06时45分00秒,12.896,20.653,,,,,
23,12/10/15 下午06时50分00秒,12.896,20.653,,,,,
24,12/10/15 下午06时55分00秒,12.871,20.651,,,,,
25,12/10/15 下午07时00分00秒,12.871,20.651,,,,,
26,12/10/15 下午07时05分00秒,12.871,20.618,,,,,
27,12/10/15 下午07时10分00秒,12.871,20.651,,,,,
28,12/10/15 下午07时15分00秒,12.871,20.651,,,,,
29,12/10/15 下午07时20分00秒,12.871,20.618,,,,,
30,12/10/15 下午07时25分00秒,12.871,20.651,,,,,
31,12/10/15 下午07时30分00秒,12.871,20.651,,,,,
32,12/10/15 下午07时35分00秒,12.871,20.651,,,,,
33,12/10/15 下午07时40分00秒,12.871,20.651,,,,,
34,12/10/15 下午07时45分00秒,12.871,20.651,,,,,
35,12/10/15 下午07时50分00秒,12.847,20.616,,,,,
36,12/10/15 下午07时55分00秒,12.847,20.582,,,,,
37,12/10/15 下午08时00分00秒,12.847,20.616,,,,,
38,12/10/15 下午08时05分00秒,12.847,20.582,,,,,
39,12/10/15 下午08时10分00秒,12.847,20.582,,,,,
40,12/10/15 下午08时15分00秒,12.847,20.582,,,,,
41,12/10/15 下午08时20分00秒,12.847,20.650,,,,,
42,12/10/15 下午08时25分00秒,12.823,20.581,,,,,
43,12/10/15 下午08时30分00秒,12.823,20.648,,,,,
44,12/10/15 下午08时35分00秒,12.823,20.615,,,,,
45,12/10/15 下午08时40分00秒,12.823,20.648,,,,,
46,12/10/15 下午08时45分00秒,12.823,20.581,,,,,
47,12/10/15 下午08时50分00秒,12.823,20.615,,,,,
48,12/10/15 下午08时55分00秒,12.823,20.581,,,,,
49,12/10/15 下午09时00分00秒,12.823,20.648,,,,,
50,12/10/15 下午09时05分00秒,12.823,20.615,,,,,
51,12/10/15 下午09时10分00秒,12.823,20.648,,,,,
52,12/10/15 下午09时15分00秒,12.823,20.648,,,,,
53,12/10/15 下午09时20分00秒,12.823,20.581,,,,,
54,12/10/15 下午09时25分00秒,12.823,20.581,,,,,
55,12/10/15 下午09时30分00秒,12.823,20.581,,,,,
56,12/10/15 下午09时35分00秒,12.799,20.579,,,,,
57,12/10/15 下午09时40分00秒,12.799,20.579,,,,,
58,12/10/15 下午09时45分00秒,12.799,20.579,,,,,
59,12/10/15 下午09时50分00秒,12.799,20.579,,,,,
