"Plot Title: c465c2-10728432"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728432, SEN S/N: 10728432)","RH, % (LGR S/N: 10728432, SEN S/N: 10728432)","Coupler Detached (LGR S/N: 10728432)","Coupler Attached (LGR S/N: 10728432)","Host Connected (LGR S/N: 10728432)","Stopped (LGR S/N: 10728432)","End Of File (LGR S/N: 10728432)"
1,12/10/15 下午05时00分00秒,14.433,20.614,Logged,,,,
2,12/10/15 下午05时05分00秒,14.409,20.613,,,,,
3,12/10/15 下午05时10分00秒,14.409,20.545,,,,,
4,12/10/15 下午05时15分00秒,14.385,20.476,,,,,
5,12/10/15 下午05时20分00秒,14.385,20.408,,,,,
6,12/10/15 下午05时25分00秒,14.361,20.272,,,,,
7,12/10/15 下午05时30分00秒,14.361,20.170,,,,,
8,12/10/15 下午05时35分00秒,14.361,20.204,,,,,
9,12/10/15 下午05时40分00秒,14.361,20.204,,,,,
10,12/10/15 下午05时45分00秒,14.361,20.204,,,,,
11,12/10/15 下午05时50分00秒,14.361,20.204,,,,,
12,12/10/15 下午05时55分00秒,14.361,20.137,,,,,
13,12/10/15 下午06时00分00秒,14.361,20.001,,,,,
14,12/10/15 下午06时05分00秒,14.361,20.001,,,,,
15,12/10/15 下午06时10分00秒,14.361,20.137,,,,,
16,12/10/15 下午06时15分00秒,14.361,20.137,,,,,
17,12/10/15 下午06时20分00秒,14.361,20.137,,,,,
18,12/10/15 下午06时25分00秒,14.361,20.170,,,,,
19,12/10/15 下午06时30分00秒,14.361,20.137,,,,,
20,12/10/15 下午06时35分00秒,14.361,20.137,,,,,
21,12/10/15 下午06时40分00秒,14.361,20.137,,,,,
22,12/10/15 下午06时45分00秒,14.361,20.137,,,,,
23,12/10/15 下午06时50分00秒,14.361,20.137,,,,,
24,12/10/15 下午06时55分00秒,14.361,20.137,,,,,
25,12/10/15 下午07时00分00秒,14.361,20.137,,,,,
26,12/10/15 下午07时05分00秒,14.361,19.866,,,,,
27,12/10/15 下午07时10分00秒,14.361,19.866,,,,,
28,12/10/15 下午07时15分00秒,14.337,19.865,,,,,
29,12/10/15 下午07时20分00秒,14.361,20.069,,,,,
30,12/10/15 下午07时25分00秒,14.337,20.034,,,,,
31,12/10/15 下午07时30分00秒,14.337,20.000,,,,,
32,12/10/15 下午07时35分00秒,14.337,20.034,,,,,
33,12/10/15 下午07时40分00秒,14.337,20.101,,,,,
34,12/10/15 下午07时45分00秒,14.337,20.068,,,,,
35,12/10/15 下午07时50分00秒,14.337,19.797,,,,,
36,12/10/15 下午07时55分00秒,14.337,19.865,,,,,
37,12/10/15 下午08时00分00秒,14.337,20.000,,,,,
38,12/10/15 下午08时05分00秒,14.337,20.034,,,,,
39,12/10/15 下午08时10分00秒,14.337,20.000,,,,,
40,12/10/15 下午08时15分00秒,14.337,20.000,,,,,
41,12/10/15 下午08时20分00秒,14.337,20.068,,,,,
42,12/10/15 下午08时25分00秒,14.337,20.068,,,,,
43,12/10/15 下午08时30分00秒,14.337,19.865,,,,,
44,12/10/15 下午08时35分00秒,14.337,19.797,,,,,
45,12/10/15 下午08时40分00秒,14.337,19.797,,,,,
46,12/10/15 下午08时45分00秒,14.337,19.797,,,,,
47,12/10/15 下午08时50分00秒,14.337,19.865,,,,,
48,12/10/15 下午08时55分00秒,14.337,19.932,,,,,
49,12/10/15 下午09时00分00秒,14.337,19.797,,,,,
50,12/10/15 下午09时05分00秒,14.337,19.831,,,,,
51,12/10/15 下午09时10分00秒,14.337,19.797,,,,,
52,12/10/15 下午09时15分00秒,14.337,19.966,,,,,
53,12/10/15 下午09时20分00秒,14.337,19.966,,,,,
54,12/10/15 下午09时25分00秒,14.314,19.795,,,,,
55,12/10/15 下午09时30分00秒,14.337,19.797,,,,,
