"Plot Title: c465pe3-10728525"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728525, SEN S/N: 10728525)","RH, % (LGR S/N: 10728525, SEN S/N: 10728525)","Coupler Detached (LGR S/N: 10728525)","Coupler Attached (LGR S/N: 10728525)","Host Connected (LGR S/N: 10728525)","Stopped (LGR S/N: 10728525)","End Of File (LGR S/N: 10728525)"
1,12/10/15 下午05时00分00秒,14.361,20.272,Logged,,,,
2,12/10/15 下午05时05分00秒,14.361,20.238,,,,,
3,12/10/15 下午05时10分00秒,14.361,20.204,,,,,
4,12/10/15 下午05时15分00秒,14.337,20.203,,,,,
5,12/10/15 下午05时20分00秒,14.337,20.135,,,,,
6,12/10/15 下午05时25分00秒,14.314,20.134,,,,,
7,12/10/15 下午05时30分00秒,14.314,20.134,,,,,
8,12/10/15 下午05时35分00秒,14.314,20.134,,,,,
9,12/10/15 下午05时40分00秒,14.314,19.998,,,,,
10,12/10/15 下午05时45分00秒,14.314,19.998,,,,,
11,12/10/15 下午05时50分00秒,14.314,19.998,,,,,
12,12/10/15 下午05时55分00秒,14.314,19.998,,,,,
13,12/10/15 下午06时00分00秒,14.314,19.863,,,,,
14,12/10/15 下午06时05分00秒,14.314,19.965,,,,,
15,12/10/15 下午06时10分00秒,14.314,19.863,,,,,
16,12/10/15 下午06时15分00秒,14.314,19.931,,,,,
17,12/10/15 下午06时20分00秒,14.314,19.931,,,,,
18,12/10/15 下午06时25分00秒,14.314,19.931,,,,,
19,12/10/15 下午06时30分00秒,14.314,19.931,,,,,
20,12/10/15 下午06时35分00秒,14.314,19.863,,,,,
21,12/10/15 下午06时40分00秒,14.314,19.795,,,,,
22,12/10/15 下午06时45分00秒,14.314,19.795,,,,,
23,12/10/15 下午06时50分00秒,14.314,19.931,,,,,
24,12/10/15 下午06时55分00秒,14.314,19.863,,,,,
25,12/10/15 下午07时00分00秒,14.314,19.931,,,,,
26,12/10/15 下午07时05分00秒,14.314,19.863,,,,,
27,12/10/15 下午07时10分00秒,14.314,19.863,,,,,
28,12/10/15 下午07时15分00秒,14.314,19.863,,,,,
29,12/10/15 下午07时20分00秒,14.314,19.795,,,,,
