"Plot Title: c465pw3-10728383"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728383, SEN S/N: 10728383)","RH, % (LGR S/N: 10728383, SEN S/N: 10728383)","Coupler Detached (LGR S/N: 10728383)","Coupler Attached (LGR S/N: 10728383)","Host Connected (LGR S/N: 10728383)","Stopped (LGR S/N: 10728383)","End Of File (LGR S/N: 10728383)"
1,12/10/15 下午05时00分00秒,14.385,20.408,Logged,,,,
2,12/10/15 下午05时05分00秒,14.361,20.373,,,,,
3,12/10/15 下午05时10分00秒,14.361,20.306,,,,,
4,12/10/15 下午05时15分00秒,14.361,20.339,,,,,
5,12/10/15 下午05时20分00秒,14.361,20.542,,,,,
6,12/10/15 下午05时25分00秒,14.361,20.204,,,,,
7,12/10/15 下午05时30分00秒,14.361,20.204,,,,,
8,12/10/15 下午05时35分00秒,14.337,20.203,,,,,
9,12/10/15 下午05时40分00秒,14.337,20.068,,,,,
10,12/10/15 下午05时45分00秒,14.337,20.101,,,,,
11,12/10/15 下午05时50分00秒,14.337,20.101,,,,,
12,12/10/15 下午05时55分00秒,14.337,20.135,,,,,
13,12/10/15 下午06时00分00秒,14.337,20.068,,,,,
14,12/10/15 下午06时05分00秒,14.337,20.068,,,,,
15,12/10/15 下午06时10分00秒,14.337,20.135,,,,,
16,12/10/15 下午06时15分00秒,14.337,20.135,,,,,
17,12/10/15 下午06时20分00秒,14.337,20.068,,,,,
18,12/10/15 下午06时25分00秒,14.337,20.135,,,,,
19,12/10/15 下午06时30分00秒,14.337,20.101,,,,,
20,12/10/15 下午06时35分00秒,14.337,20.034,,,,,
21,12/10/15 下午06时40分00秒,14.337,20.000,,,,,
22,12/10/15 下午06时45分00秒,14.337,20.101,,,,,
23,12/10/15 下午06时50分00秒,14.337,20.000,,,,,
24,12/10/15 下午06时55分00秒,14.337,20.068,,,,,
25,12/10/15 下午07时00分00秒,14.337,20.068,,,,,
26,12/10/15 下午07时05分00秒,14.337,20.034,,,,,
27,12/10/15 下午07时10分00秒,14.337,20.034,,,,,
28,12/10/15 下午07时15分00秒,14.337,20.000,,,,,
29,12/10/15 下午07时20分00秒,14.337,19.898,,,,,
30,12/10/15 下午07时25分00秒,14.337,20.000,,,,,
31,12/10/15 下午07时30分00秒,14.314,19.965,,,,,
32,12/10/15 下午07时35分00秒,14.337,19.932,,,,,
33,12/10/15 下午07时40分00秒,14.337,19.865,,,,,
34,12/10/15 下午07时45分00秒,14.314,19.965,,,,,
35,12/10/15 下午07时50分00秒,14.314,19.998,,,,,
36,12/10/15 下午07时55分00秒,14.314,19.965,,,,,
37,12/10/15 下午08时00分00秒,14.314,19.795,,,,,
38,12/10/15 下午08时05分00秒,14.314,19.965,,,,,
39,12/10/15 下午08时10分00秒,14.314,19.931,,,,,
40,12/10/15 下午08时15分00秒,14.314,19.795,,,,,
41,12/10/15 下午08时20分00秒,14.314,19.931,,,,,
42,12/10/15 下午08时25分00秒,14.314,19.931,,,,,
43,12/10/15 下午08时30分00秒,14.314,19.931,,,,,
44,12/10/15 下午08时35分00秒,14.314,19.897,,,,,
45,12/10/15 下午08时40分00秒,14.314,19.965,,,,,
46,12/10/15 下午08时45分00秒,14.314,19.931,,,,,
47,12/10/15 下午08时50分00秒,14.314,19.931,,,,,
48,12/10/15 下午08时55分00秒,14.314,19.863,,,,,
49,12/10/15 下午09时00分00秒,14.314,19.931,,,,,
50,12/10/15 下午09时05分00秒,14.314,19.931,,,,,
51,12/10/15 下午09时10分00秒,14.314,19.931,,,,,
52,12/10/15 下午09时15分00秒,14.314,19.931,,,,,
53,12/10/15 下午09时20分00秒,14.314,19.931,,,,,
54,12/10/15 下午09时25分00秒,14.314,19.931,,,,,
55,12/10/15 下午09时30分00秒,14.314,19.931,,,,,
56,12/10/15 下午09时35分00秒,14.314,19.931,,,,,
57,12/10/15 下午09时40分00秒,14.314,19.863,,,,,
58,12/10/15 下午09时45分00秒,14.314,19.728,,,,,
59,12/10/15 下午09时50分00秒,14.314,19.931,,,,,
60,12/10/15 下午09时55分00秒,14.314,19.931,,,,,
61,12/10/15 下午10时00分00秒,14.314,19.863,,,,,
62,12/10/15 下午10时05分00秒,14.314,19.863,,,,,
63,12/10/15 下午10时10分00秒,14.314,19.897,,,,,
64,12/10/15 下午10时15分00秒,14.314,19.931,,,,,
65,12/10/15 下午10时20分00秒,14.314,19.931,,,,,
66,12/10/15 下午10时25分00秒,14.314,19.863,,,,,
67,12/10/15 下午10时30分00秒,14.314,19.863,,,,,
68,12/10/15 下午10时35分00秒,14.314,19.795,,,,,
69,12/10/15 下午10时40分00秒,14.314,19.863,,,,,
70,12/10/15 下午10时45分00秒,14.314,19.863,,,,,
