"Plot Title: c465se3-10728442"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728442, SEN S/N: 10728442)","RH, % (LGR S/N: 10728442, SEN S/N: 10728442)","Coupler Detached (LGR S/N: 10728442)","Coupler Attached (LGR S/N: 10728442)","Host Connected (LGR S/N: 10728442)","Stopped (LGR S/N: 10728442)","End Of File (LGR S/N: 10728442)"
1,12/10/15 下午05时00分00秒,14.649,20.323,Logged,,,,
2,12/10/15 下午05时05分00秒,14.625,20.288,,,,,
3,12/10/15 下午05时10分00秒,14.601,20.287,,,,,
4,12/10/15 下午05时15分00秒,14.601,20.287,,,,,
5,12/10/15 下午05时20分00秒,14.577,20.285,,,,,
6,12/10/15 下午05时25分00秒,14.553,20.250,,,,,
7,12/10/15 下午05时30分00秒,14.553,20.250,,,,,
8,12/10/15 下午05时35分00秒,14.553,20.216,,,,,
9,12/10/15 下午05时40分00秒,14.553,20.148,,,,,
10,12/10/15 下午05时45分00秒,14.529,20.045,,,,,
11,12/10/15 下午05时50分00秒,14.529,20.012,,,,,
12,12/10/15 下午05时55分00秒,14.529,19.944,,,,,
13,12/10/15 下午06时00分00秒,14.529,19.944,,,,,
14,12/10/15 下午06时05分00秒,14.529,19.944,,,,,
15,12/10/15 下午06时10分00秒,14.529,19.876,,,,,
16,12/10/15 下午06时15分00秒,14.529,19.876,,,,,
17,12/10/15 下午06时20分00秒,14.529,19.876,,,,,
18,12/10/15 下午06时25分00秒,14.529,19.809,,,,,
19,12/10/15 下午06时30分00秒,14.529,19.809,,,,,
20,12/10/15 下午06时35分00秒,14.529,19.775,,,,,
21,12/10/15 下午06时40分00秒,14.529,19.809,,,,,
22,12/10/15 下午06时45分00秒,14.529,19.741,,,,,
23,12/10/15 下午06时50分00秒,14.529,19.741,,,,,
24,12/10/15 下午06时55分00秒,14.529,19.707,,,,,
25,12/10/15 下午07时00分00秒,14.529,19.741,,,,,
26,12/10/15 下午07时05分00秒,14.529,19.741,,,,,
27,12/10/15 下午07时10分00秒,14.529,19.741,,,,,
28,12/10/15 下午07时15分00秒,14.529,19.673,,,,,
29,12/10/15 下午07时20分00秒,14.529,19.673,,,,,
30,12/10/15 下午07时25分00秒,14.529,19.605,,,,,
31,12/10/15 下午07时30分00秒,14.529,19.673,,,,,
32,12/10/15 下午07时35分00秒,14.505,19.672,,,,,
33,12/10/15 下午07时40分00秒,14.505,19.672,,,,,
34,12/10/15 下午07时45分00秒,14.505,19.672,,,,,
35,12/10/15 下午07时50分00秒,14.505,19.672,,,,,
36,12/10/15 下午07时55分00秒,14.505,19.604,,,,,
37,12/10/15 下午08时00分00秒,14.505,19.604,,,,,
38,12/10/15 下午08时05分00秒,14.505,19.536,,,,,
39,12/10/15 下午08时10分00秒,14.505,19.536,,,,,
40,12/10/15 下午08时15分00秒,14.505,19.604,,,,,
41,12/10/15 下午08时20分00秒,14.505,19.672,,,,,
42,12/10/15 下午08时25分00秒,14.505,19.672,,,,,
43,12/10/15 下午08时30分00秒,14.505,19.604,,,,,
44,12/10/15 下午08时35分00秒,14.505,19.604,,,,,
45,12/10/15 下午08时40分00秒,14.505,19.604,,,,,
46,12/10/15 下午08时45分00秒,14.505,19.536,,,,,
47,12/10/15 下午08时50分00秒,14.505,19.604,,,,,
48,12/10/15 下午08时55分00秒,14.505,19.604,,,,,
49,12/10/15 下午09时00分00秒,14.505,19.604,,,,,
50,12/10/15 下午09时05分00秒,14.505,19.604,,,,,
51,12/10/15 下午09时10分00秒,14.505,19.604,,,,,
52,12/10/15 下午09时15分00秒,14.505,19.604,,,,,
53,12/10/15 下午09时20分00秒,14.505,19.536,,,,,
54,12/10/15 下午09时25分00秒,14.505,19.604,,,,,
55,12/10/15 下午09时30分00秒,14.505,19.536,,,,,
56,12/10/15 下午09时35分00秒,14.505,19.570,,,,,
57,12/10/15 下午09时40分00秒,14.505,19.536,,,,,
58,12/10/15 下午09时45分00秒,14.505,19.536,,,,,
59,12/10/15 下午09时50分00秒,14.505,19.536,,,,,
