"Plot Title: c465w1-10728506"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728506, SEN S/N: 10728506)","RH, % (LGR S/N: 10728506, SEN S/N: 10728506)","Coupler Detached (LGR S/N: 10728506)","Coupler Attached (LGR S/N: 10728506)","Host Connected (LGR S/N: 10728506)","Stopped (LGR S/N: 10728506)","End Of File (LGR S/N: 10728506)"
1,12/10/15 下午05时00分00秒,14.721,18.769,Logged,,,,
2,12/10/15 下午05时05分00秒,14.553,18.929,,,,,
3,12/10/15 下午05时10分00秒,14.433,19.023,,,,,
4,12/10/15 下午05时15分00秒,14.337,19.052,,,,,
5,12/10/15 下午05时20分00秒,14.266,19.115,,,,,
6,12/10/15 下午05时25分00秒,14.218,19.180,,,,,
7,12/10/15 下午05时30分00秒,14.170,19.177,,,,,
8,12/10/15 下午05时35分00秒,14.146,19.244,,,,,
9,12/10/15 下午05时40分00秒,14.122,19.242,,,,,
10,12/10/15 下午05时45分00秒,14.098,19.241,,,,,
11,12/10/15 下午05时50分00秒,14.098,19.241,,,,,
12,12/10/15 下午05时55分00秒,14.074,19.240,,,,,
13,12/10/15 下午06时00分00秒,14.074,19.240,,,,,
14,12/10/15 下午06时05分00秒,14.074,19.240,,,,,
15,12/10/15 下午06时10分00秒,14.050,19.238,,,,,
16,12/10/15 下午06时15分00秒,14.050,19.238,,,,,
17,12/10/15 下午06时20分00秒,14.050,19.238,,,,,
18,12/10/15 下午06时25分00秒,14.050,19.238,,,,,
19,12/10/15 下午06时30分00秒,14.050,19.238,,,,,
20,12/10/15 下午06时35分00秒,14.050,19.238,,,,,
21,12/10/15 下午06时40分00秒,14.050,19.238,,,,,
22,12/10/15 下午06时45分00秒,14.050,19.170,,,,,
23,12/10/15 下午06时50分00秒,14.050,19.170,,,,,
24,12/10/15 下午06时55分00秒,14.050,19.170,,,,,
25,12/10/15 下午07时00分00秒,14.026,19.169,,,,,
26,12/10/15 下午07时05分00秒,14.026,19.169,,,,,
27,12/10/15 下午07时10分00秒,14.026,19.169,,,,,
28,12/10/15 下午07时15分00秒,14.026,19.169,,,,,
29,12/10/15 下午07时20分00秒,14.026,19.169,,,,,
30,12/10/15 下午07时25分00秒,14.026,19.169,,,,,
31,12/10/15 下午07时30分00秒,14.026,19.101,,,,,
32,12/10/15 下午07时35分00秒,14.026,19.169,,,,,
33,12/10/15 下午07时40分00秒,14.026,19.169,,,,,
34,12/10/15 下午07时45分00秒,14.026,19.169,,,,,
35,12/10/15 下午07时50分00秒,14.026,19.169,,,,,
36,12/10/15 下午07时55分00秒,14.026,19.169,,,,,
37,12/10/15 下午08时00分00秒,14.026,19.169,,,,,
38,12/10/15 下午08时05分00秒,14.026,19.169,,,,,
39,12/10/15 下午08时10分00秒,14.026,19.169,,,,,
40,12/10/15 下午08时15分00秒,14.026,19.169,,,,,
41,12/10/15 下午08时20分00秒,14.026,19.169,,,,,
42,12/10/15 下午08时25分00秒,14.026,19.135,,,,,
43,12/10/15 下午08时30分00秒,14.002,19.168,,,,,
44,12/10/15 下午08时35分00秒,14.002,19.168,,,,,
45,12/10/15 下午08时40分00秒,14.002,19.168,,,,,
46,12/10/15 下午08时45分00秒,14.002,19.168,,,,,
47,12/10/15 下午08时50分00秒,14.002,19.168,,,,,
48,12/10/15 下午08时55分00秒,14.002,19.168,,,,,
49,12/10/15 下午09时00分00秒,14.002,19.168,,,,,
50,12/10/15 下午09时05分00秒,14.002,19.100,,,,,
51,12/10/15 下午09时10分00秒,14.002,19.100,,,,,
