"Plot Title: c465wn3-10728382"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728382, SEN S/N: 10728382)","RH, % (LGR S/N: 10728382, SEN S/N: 10728382)","Coupler Detached (LGR S/N: 10728382)","Coupler Attached (LGR S/N: 10728382)","Host Connected (LGR S/N: 10728382)","Stopped (LGR S/N: 10728382)","End Of File (LGR S/N: 10728382)"
1,12/10/15 下午05时00分00秒,14.457,20.818,Logged,,,,
2,12/10/15 下午05时05分00秒,14.457,20.751,,,,,
3,12/10/15 下午05时10分00秒,14.433,20.614,,,,,
4,12/10/15 下午05时15分00秒,14.433,20.479,,,,,
5,12/10/15 下午05时20分00秒,14.433,20.479,,,,,
6,12/10/15 下午05时25分00秒,14.409,20.477,,,,,
7,12/10/15 下午05时30分00秒,14.409,20.410,,,,,
8,12/10/15 下午05时35分00秒,14.409,20.342,,,,,
9,12/10/15 下午05时40分00秒,14.409,20.342,,,,,
10,12/10/15 下午05时45分00秒,14.409,20.342,,,,,
11,12/10/15 下午05时50分00秒,14.409,20.342,,,,,
12,12/10/15 下午05时55分00秒,14.409,20.410,,,,,
13,12/10/15 下午06时00分00秒,14.409,20.477,,,,,
14,12/10/15 下午06时05分00秒,14.409,20.477,,,,,
15,12/10/15 下午06时10分00秒,14.409,20.410,,,,,
16,12/10/15 下午06时15分00秒,14.409,20.545,,,,,
17,12/10/15 下午06时20分00秒,14.409,20.477,,,,,
18,12/10/15 下午06时25分00秒,14.409,20.545,,,,,
19,12/10/15 下午06时30分00秒,14.409,20.545,,,,,
20,12/10/15 下午06时35分00秒,14.409,20.410,,,,,
21,12/10/15 下午06时40分00秒,14.409,20.342,,,,,
22,12/10/15 下午06时45分00秒,14.385,20.442,,,,,
23,12/10/15 下午06时50分00秒,14.409,20.410,,,,,
24,12/10/15 下午06时55分00秒,14.385,20.408,,,,,
25,12/10/15 下午07时00分00秒,14.385,20.476,,,,,
26,12/10/15 下午07时05分00秒,14.385,20.544,,,,,
27,12/10/15 下午07时10分00秒,14.385,20.476,,,,,
28,12/10/15 下午07时15分00秒,14.385,20.476,,,,,
29,12/10/15 下午07时20分00秒,14.385,20.510,,,,,
30,12/10/15 下午07时25分00秒,14.385,20.341,,,,,
31,12/10/15 下午07时30分00秒,14.385,20.341,,,,,
32,12/10/15 下午07时35分00秒,14.385,20.341,,,,,
33,12/10/15 下午07时40分00秒,14.385,20.341,,,,,
34,12/10/15 下午07时45分00秒,14.385,20.341,,,,,
35,12/10/15 下午07时50分00秒,14.385,20.341,,,,,
36,12/10/15 下午07时55分00秒,14.385,20.408,,,,,
37,12/10/15 下午08时00分00秒,14.385,20.408,,,,,
38,12/10/15 下午08时05分00秒,14.385,20.273,,,,,
39,12/10/15 下午08时10分00秒,14.385,20.273,,,,,
40,12/10/15 下午08时15分00秒,14.385,20.341,,,,,
41,12/10/15 下午08时20分00秒,14.385,20.273,,,,,
42,12/10/15 下午08时25分00秒,14.385,20.273,,,,,
43,12/10/15 下午08时30分00秒,14.385,20.273,,,,,
44,12/10/15 下午08时35分00秒,14.385,20.273,,,,,
45,12/10/15 下午08时40分00秒,14.385,20.206,,,,,
46,12/10/15 下午08时45分00秒,14.385,20.273,,,,,
47,12/10/15 下午08时50分00秒,14.385,20.206,,,,,
48,12/10/15 下午08时55分00秒,14.385,20.206,,,,,
49,12/10/15 下午09时00分00秒,14.385,20.206,,,,,
50,12/10/15 下午09时05分00秒,14.385,20.273,,,,,
51,12/10/15 下午09时10分00秒,14.385,20.206,,,,,
52,12/10/15 下午09时15分00秒,14.385,20.138,,,,,
53,12/10/15 下午09时20分00秒,14.385,20.206,,,,,
54,12/10/15 下午09时25分00秒,14.385,20.206,,,,,
55,12/10/15 下午09时30分00秒,14.385,20.206,,,,,
56,12/10/15 下午09时35分00秒,14.385,20.138,,,,,
57,12/10/15 下午09时40分00秒,14.385,20.070,,,,,
58,12/10/15 下午09时45分00秒,14.385,20.172,,,,,
59,12/10/15 下午09时50分00秒,14.385,20.206,,,,,
60,12/10/15 下午09时55分00秒,14.385,20.206,,,,,
61,12/10/15 下午10时00分00秒,14.385,20.138,,,,,
62,12/10/15 下午10时05分00秒,14.385,20.172,,,,,
63,12/10/15 下午10时10分00秒,14.361,20.137,,,,,
64,12/10/15 下午10时15分00秒,14.385,20.206,,,,,
65,12/10/15 下午10时20分00秒,14.361,20.204,,,,,
66,12/10/15 下午10时25分00秒,14.361,20.137,,,,,
67,12/10/15 下午10时30分00秒,14.361,20.137,,,,,
68,12/10/15 下午10时35分00秒,14.385,20.104,,,,,
69,12/10/15 下午10时40分00秒,14.361,20.137,,,,,
70,12/10/15 下午10时45分00秒,14.361,20.137,,,,,
71,12/10/15 下午10时50分00秒,14.361,20.035,,,,,
72,12/10/15 下午10时55分00秒,14.361,20.069,,,,,
73,12/10/15 下午11时00分00秒,14.361,20.069,,,,,
74,12/10/15 下午11时05分00秒,14.361,20.069,,,,,
75,12/10/15 下午11时10分00秒,14.361,20.137,,,,,
76,12/10/15 下午11时15分00秒,14.361,20.137,,,,,
77,12/10/15 下午11时20分00秒,14.361,20.001,,,,,
78,12/10/15 下午11时25分00秒,14.361,19.934,,,,,
79,12/10/15 下午11时30分00秒,14.361,19.900,,,,,
80,12/10/15 下午11时35分00秒,14.361,20.001,,,,,
81,12/10/15 下午11时40分00秒,14.361,19.934,,,,,
82,12/10/15 下午11时45分00秒,14.361,20.069,,,,,
83,12/10/15 下午11时50分00秒,14.361,20.069,,,,,
84,12/10/15 下午11时55分00秒,14.361,20.069,,,,,
85,12/11/15 上午12时00分00秒,14.361,20.001,,,,,
86,12/11/15 上午12时05分00秒,14.361,20.035,,,,,
87,12/11/15 上午12时10分00秒,14.361,19.934,,,,,
88,12/11/15 上午12时15分00秒,14.361,19.934,,,,,
89,12/11/15 上午12时20分00秒,14.361,20.001,,,,,
90,12/11/15 上午12时25分00秒,14.361,20.001,,,,,
91,12/11/15 上午12时30分00秒,14.361,20.069,,,,,
92,12/11/15 上午12时35分00秒,14.361,20.069,,,,,
93,12/11/15 上午12时40分00秒,14.361,19.968,,,,,
94,12/11/15 上午12时45分00秒,14.361,20.001,,,,,
95,12/11/15 上午12时50分00秒,14.361,20.001,,,,,
96,12/11/15 上午12时55分00秒,14.361,20.001,,,,,
97,12/11/15 上午01时00分00秒,14.361,19.934,,,,,
98,12/11/15 上午01时05分00秒,14.361,19.900,,,,,
99,12/11/15 上午01时10分00秒,14.361,20.001,,,,,
100,12/11/15 上午01时15分00秒,14.361,20.035,,,,,
101,12/11/15 上午01时20分00秒,14.361,20.001,,,,,
102,12/11/15 上午01时25分00秒,14.361,20.001,,,,,
103,12/11/15 上午01时30分00秒,14.361,19.934,,,,,
104,12/11/15 上午01时35分00秒,14.361,20.001,,,,,
105,12/11/15 上午01时40分00秒,14.361,20.001,,,,,
106,12/11/15 上午01时45分00秒,14.361,19.934,,,,,
107,12/11/15 上午01时50分00秒,14.361,19.934,,,,,
108,12/11/15 上午01时55分00秒,14.361,20.001,,,,,
109,12/11/15 上午02时00分00秒,14.361,20.035,,,,,
110,12/11/15 上午02时05分00秒,14.361,20.069,,,,,
111,12/11/15 上午02时10分00秒,14.361,20.035,,,,,
112,12/11/15 上午02时15分00秒,14.361,20.001,,,,,
113,12/11/15 上午02时20分00秒,14.361,19.934,,,,,
114,12/11/15 上午02时25分00秒,14.361,19.798,,,,,
115,12/11/15 上午02时30分00秒,14.361,19.866,,,,,
116,12/11/15 上午02时35分00秒,14.361,19.866,,,,,
117,12/11/15 上午02时40分00秒,14.361,19.934,,,,,
118,12/11/15 上午02时45分00秒,14.361,19.866,,,,,
119,12/11/15 上午02时50分00秒,14.361,19.798,,,,,
120,12/11/15 上午02时55分00秒,14.361,19.934,,,,,
121,12/11/15 上午03时00分00秒,14.361,20.035,,,,,
122,12/11/15 上午03时05分00秒,14.361,20.069,,,,,
123,12/11/15 上午03时10分00秒,14.337,20.068,,,,,
124,12/11/15 上午03时15分00秒,14.361,20.001,,,,,
125,12/11/15 上午03时20分00秒,14.361,20.001,,,,,
126,12/11/15 上午03时25分00秒,14.361,20.001,,,,,
127,12/11/15 上午03时30分00秒,14.337,20.000,,,,,
128,12/11/15 上午03时35分00秒,14.337,20.000,,,,,
129,12/11/15 上午03时40分00秒,14.361,19.968,,,,,
130,12/11/15 上午03时45分00秒,14.361,20.069,,,,,
131,12/11/15 上午03时50分00秒,14.337,20.068,,,,,
132,12/11/15 上午03时55分00秒,14.337,20.000,,,,,
133,12/11/15 上午04时00分00秒,14.337,19.932,,,,,
134,12/11/15 上午04时05分00秒,14.337,19.932,,,,,
135,12/11/15 上午04时10分00秒,14.337,20.000,,,,,
136,12/11/15 上午04时15分00秒,14.337,20.000,,,,,
137,12/11/15 上午04时20分00秒,14.337,20.000,,,,,
138,12/11/15 上午04时25分00秒,14.337,19.932,,,,,
139,12/11/15 上午04时30分00秒,14.337,20.000,,,,,
140,12/11/15 上午04时35分00秒,14.337,20.000,,,,,
141,12/11/15 上午04时40分00秒,14.337,20.068,,,,,
142,12/11/15 上午04时45分00秒,14.337,20.068,,,,,
143,12/11/15 上午04时50分00秒,14.337,20.000,,,,,
