"Plot Title: c465y3-10728405"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10728405, SEN S/N: 10728405)","RH, % (LGR S/N: 10728405, SEN S/N: 10728405)","Coupler Detached (LGR S/N: 10728405)","Coupler Attached (LGR S/N: 10728405)","Host Connected (LGR S/N: 10728405)","Stopped (LGR S/N: 10728405)","End Of File (LGR S/N: 10728405)"
1,12/10/15 下午05时00分00秒,14.194,21.004,Logged,,,,
2,12/10/15 下午05时05分00秒,14.170,21.070,,,,,
3,12/10/15 下午05时10分00秒,14.146,21.068,,,,,
4,12/10/15 下午05时15分00秒,14.122,21.067,,,,,
5,12/10/15 下午05时20分00秒,14.122,20.999,,,,,
6,12/10/15 下午05时25分00秒,14.122,20.999,,,,,
7,12/10/15 下午05时30分00秒,14.122,20.999,,,,,
8,12/10/15 下午05时35分00秒,14.098,20.930,,,,,
9,12/10/15 下午05时40分00秒,14.098,20.863,,,,,
10,12/10/15 下午05时45分00秒,14.098,20.829,,,,,
11,12/10/15 下午05时50分00秒,14.098,20.829,,,,,
12,12/10/15 下午05时55分00秒,14.098,20.829,,,,,
13,12/10/15 下午06时00分00秒,14.098,20.796,,,,,
14,12/10/15 下午06时05分00秒,14.098,20.728,,,,,
15,12/10/15 下午06时10分00秒,14.098,20.728,,,,,
16,12/10/15 下午06时15分00秒,14.098,20.661,,,,,
17,12/10/15 下午06时20分00秒,14.098,20.661,,,,,
18,12/10/15 下午06时25分00秒,14.098,20.661,,,,,
19,12/10/15 下午06时30分00秒,14.098,20.627,,,,,
20,12/10/15 下午06时35分00秒,14.098,20.627,,,,,
21,12/10/15 下午06时40分00秒,14.098,20.593,,,,,
22,12/10/15 下午06时45分00秒,14.098,20.593,,,,,
23,12/10/15 下午06时50分00秒,14.098,20.593,,,,,
24,12/10/15 下午06时55分00秒,14.098,20.593,,,,,
25,12/10/15 下午07时00分00秒,14.074,20.592,,,,,
26,12/10/15 下午07时05分00秒,14.074,20.524,,,,,
27,12/10/15 下午07时10分00秒,14.074,20.592,,,,,
28,12/10/15 下午07时15分00秒,14.074,20.592,,,,,
29,12/10/15 下午07时20分00秒,14.074,20.558,,,,,
30,12/10/15 下午07时25分00秒,14.074,20.592,,,,,
31,12/10/15 下午07时30分00秒,14.074,20.524,,,,,
32,12/10/15 下午07时35分00秒,14.074,20.524,,,,,
33,12/10/15 下午07时40分00秒,14.074,20.524,,,,,
34,12/10/15 下午07时45分00秒,14.074,20.524,,,,,
35,12/10/15 下午07时50分00秒,14.074,20.524,,,,,
36,12/10/15 下午07时55分00秒,14.074,20.524,,,,,
37,12/10/15 下午08时00分00秒,14.074,20.524,,,,,
38,12/10/15 下午08时05分00秒,14.074,20.524,,,,,
39,12/10/15 下午08时10分00秒,14.074,20.524,,,,,
40,12/10/15 下午08时15分00秒,14.074,20.524,,,,,
41,12/10/15 下午08时20分00秒,14.074,20.457,,,,,
42,12/10/15 下午08时25分00秒,14.074,20.457,,,,,
43,12/10/15 下午08时30分00秒,14.074,20.457,,,,,
44,12/10/15 下午08时35分00秒,14.074,20.524,,,,,
45,12/10/15 下午08时40分00秒,14.074,20.490,,,,,
46,12/10/15 下午08时45分00秒,14.074,20.524,,,,,
47,12/10/15 下午08时50分00秒,14.074,20.457,,,,,
48,12/10/15 下午08时55分00秒,14.074,20.490,,,,,
49,12/10/15 下午09时00分00秒,14.074,20.457,,,,,
50,12/10/15 下午09时05分00秒,14.050,20.455,,,,,
51,12/10/15 下午09时10分00秒,14.050,20.455,,,,,
52,12/10/15 下午09时15分00秒,14.050,20.455,,,,,
53,12/10/15 下午09时20分00秒,14.050,20.455,,,,,
54,12/10/15 下午09时25分00秒,14.050,20.455,,,,,
55,12/10/15 下午09时30分00秒,14.050,20.455,,,,,
56,12/10/15 下午09时35分00秒,14.050,20.455,,,,,
57,12/10/15 下午09时40分00秒,14.050,20.455,,,,,
58,12/10/15 下午09时45分00秒,14.050,20.455,,,,,
59,12/10/15 下午09时50分00秒,14.050,20.455,,,,,
60,12/10/15 下午09时55分00秒,14.050,20.455,,,,,
61,12/10/15 下午10时00分00秒,14.050,20.455,,,,,
62,12/10/15 下午10时05分00秒,14.050,20.455,,,,,
63,12/10/15 下午10时10分00秒,14.050,20.455,,,,,
64,12/10/15 下午10时15分00秒,14.050,20.455,,,,,
65,12/10/15 下午10时20分00秒,14.050,20.455,,,,,
66,12/10/15 下午10时25分00秒,14.050,20.455,,,,,
67,12/10/15 下午10时30分00秒,14.026,20.420,,,,,
