idw温度,idw湿度,kriging_spherical温度,kriging_spherical湿度,kriging_linear温度,kriging_linear湿度,kriging_power温度,kriging_power湿度,kriging_exponential温度,kriging_exponential湿度
0.768002003,1.001129146,0.691105235,0.968304467,0.575429322,0.982566753,0.789992994,1.421744933,0.757814348,0.900601031
1.417671626,2.108987838,1.383254136,2.092625535,1.367682696,2.062620853,1.355332809,2.061573926,1.446891969,2.130222397
1.310205912,2.149782004,1.139535529,1.854332898,0.89951292,1.366258907,1.080930696,1.611019207,0.996841104,1.68669951
1.344883509,2.012555016,1.398543661,2.058331896,1.190238984,1.849889771,1.16336583,1.92687682,1.42825866,2.080454405
0.642219069,1.516276639,0.598829646,1.103194207,0.762007508,1.022753602,1.168280914,1.975050849,0.646930851,1.05684951
1.511944179,2.223470223,1.543325004,2.254000465,1.360116674,2.140908613,1.363976003,2.179119847,1.577428662,2.276840093
1.287564316,1.964791253,1.482767641,2.154417822,1.12411919,1.897580131,1.145867211,1.880985338,1.432623853,2.120889302
1.462058518,2.177392913,1.513013992,2.206149155,1.411194152,2.096911581,1.412841088,2.085682036,1.547614759,2.23578867
1.283291832,2.015398569,1.211948117,1.999552436,1.104226619,1.975356857,1.121560063,1.973086194,1.287846847,2.04073158
1.308523416,1.978733831,1.28640458,1.961844094,1.18927098,1.896543332,1.188173995,1.889692747,1.34437443,2.013979063
1.593437039,2.167664017,1.486837032,2.184087336,1.4667487,2.183872691,1.559879545,2.17265504,1.499616755,2.18731431
1.059705364,1.852244365,1.14185429,1.729925383,0.987473292,1.413772235,0.824915276,1.65457126,1.042628331,1.443107575
1.815373433,2.957022289,1.703246748,2.778649036,1.25890388,1.957550452,2.03558217,3.565603549,1.414481499,2.354837581
1.43991309,2.059257643,1.4504911,2.048376418,1.236842997,1.938552321,1.170279472,1.935754361,1.498616581,2.105738091
1.281298726,1.94704491,1.293476001,1.970289955,1.1027637,1.799470036,1.09683869,1.89183501,1.339710282,2.010317425
1.494173515,2.163225127,1.549588203,2.217667071,1.435045354,2.150243982,1.411038486,2.181183814,1.58859574,2.24342523
1.487119056,2.171700625,1.603696021,2.262208932,1.418026703,2.189253812,1.45151235,2.148368019,1.538765119,2.201047712
1.026878027,1.468868223,0.883733637,1.460601602,0.816420283,1.446772586,0.845013404,1.470408504,0.989834553,1.448546826
0.667965986,0.941144316,0.861556255,1.045454993,0.567627919,0.773168118,0.628974809,1.323878281,0.829964733,0.977406758
1.249754886,2.008766408,1.241338201,2.002147981,1.186224231,1.963976426,1.184044078,1.967270201,1.283145856,2.026606538
平均值,平均值,平均值,平均值,平均值,平均值,平均值,平均值,平均值,平均值
1.217906631,1.800124453,1.273227251,1.917608084,1.177686349,1.90339882,1.199919994,1.961968644,1.274599247,1.87707018
